ID,Original Post ID,Content,Timestamp,Like Count,User ID
1,102,"Excited to share this!",2023-07-21 14:32:00,150,501
2,203,"Really makes you think. #inspiration",2023-07-22 09:15:00,205,502
3,304,"Can't stop laughing at this 😂",2023-07-22 16:48:00,300,503
4,105,"This is so important. Spread the word.",2023-07-23 08:24:00,400,504
5,208,"A must-read for everyone.",2023-07-23 19:56:00,180,505
6,309,"Loving the vibes in this post.",2023-07-24 13:11:00,220,506
7,110,"This is pure gold! 😍",2023-07-25 07:45:00,350,507
8,211,"Couldn't agree more with this.",2023-07-25 22:30:00,290,508
9,312,"Spot on! Sharing with everyone.",2023-07-26 12:05:00,165,509
10,113,"This needs more attention!",2023-07-27 14:52:00,210,510
